"","date","meeting_date","dtarget","surprise"
"100",2007-01-25,2007-01-24,-0.25,0.00999999999999979
"101",2007-03-08,2007-03-07,-0.25,0.0200000000000014
"102",2007-04-19,2007-04-18,-0.25,-0.0200000000000014
"103",2007-06-07,2007-06-06,-0.5,-0.15
"104",2007-07-19,2007-07-18,-0.5,-0.0100000000000016
"105",2007-09-06,2007-09-05,-0.25,-0.011000000000001
"106",2007-10-18,2007-10-17,0,0.0399999999999991
"107",2007-12-06,2007-12-05,0,-0.00999999999999979
"108",2008-01-24,2008-01-23,0,-0.00999999999999979
"109",2008-03-06,2008-03-05,0,-0.00999999999999979
"110",2008-04-17,2008-04-16,0.5,0.0199999999999996
"111",2008-06-05,2008-06-04,0.5,0.0400000000000009
"112",2008-07-24,2008-07-23,0.75,0.0499999999999989
"113",2008-09-11,2008-09-10,0.75,0.0620000000000012
"114",2008-10-30,2008-10-29,0,-0.139999999999999
"115",2008-12-11,2008-12-10,0,0.0249999999999986
"116",2009-01-22,2009-01-21,-1,-0.200000000000001
"117",2009-03-12,2009-03-11,-1.5,-0.0999999999999996
"118",2009-04-30,2009-04-29,-1,0.380000000000001
"119",2009-06-11,2009-06-10,-1,-0.335000000000001
"120",2009-07-23,2009-07-22,-0.5,-0.0300000000000011
"121",2009-09-03,2009-09-02,0,0.0199999999999996
"122",2009-10-22,2009-10-21,0,0.0100000000000016
"123",2009-12-10,2009-12-09,0,-0.0300000000000011
"124",2010-01-28,2010-01-27,0,0.0140000000000011
"125",2010-03-18,2010-03-17,0,-0.173
"126",2010-04-29,2010-04-28,0.75,0.250999999999999
"127",2010-06-10,2010-06-09,0.75,0.0490000000000013
"128",2010-07-22,2010-07-21,0.5,0
"129",2010-09-02,2010-09-01,0,-0.0250000000000004
"130",2010-10-21,2010-10-20,0,0.00500000000000078
"131",2010-12-09,2010-12-08,0,-0.0779999999999994
"132",2011-01-20,2011-01-19,0.5,0.0309999999999988
"133",2011-03-03,2011-03-02,0.5,-0.00399999999999956
