"","date","surprise","shock"
"1",2003-06-01,-0.140000000000001,-0.603541253214205
"2",2003-07-01,0.16,-0.236785358675686
"3",2003-08-01,-0.82,-3.21476430850192
"4",2003-09-01,-0.356999999999999,-3.32825692691644
"5",2003-10-01,0,1.15418190413692
"6",2003-11-01,-0.66,0.576156982916706
"7",2003-12-01,-0.0209999999999972,-0.631028199871021
"8",2004-01-01,0.360000000000001,0.863569682051281
"9",2004-02-01,0.0499999999999972,1.25070584097301
"10",2004-03-01,-0.0949999999999989,-0.0282216927895501
"11",2004-04-01,-0.0600000000000005,-1.74694961764097
"12",2004-05-01,0.0999999999999996,-0.672590433455973
"13",2004-06-01,-0.0199999999999996,0.899712670894817
"14",2004-07-01,-0.0299999999999994,0.132918301260273
"15",2004-08-01,0,0.120112697932966
"16",2004-09-01,0.0100000000000016,-0.254062245019938
"17",2004-10-01,0.18,0.594598939066013
"18",2004-11-01,0,0.943980887454948
"19",2004-12-01,0.0499999999999972,0.689451794824188
"20",2005-01-01,0.00999999999999801,-0.107883496229721
"21",2005-02-01,0,0.6498527864413
"22",2005-03-01,0.165999999999997,0.553911306363259
"23",2005-04-01,0.0800000000000018,0.464011355866521
"24",2005-05-01,0.130000000000003,0.421636610319334
"25",2005-06-01,-0.0500000000000007,0.320200739991796
"26",2005-07-01,0.0199999999999996,0.417087751370728
"27",2005-08-01,0.0500000000000007,0.0152863820338199
"28",2005-09-01,-0.00200000000000244,0.312303421920822
"29",2005-10-01,-0.0199999999999996,0.321281964288266
"30",2005-11-01,-0.0599999999999987,0.317354256622205
"31",2005-12-01,0.032,-0.64450579439898
"32",2006-01-01,-0.0199999999999996,0.46288225358478
"33",2006-02-01,0,0.998023004606238
"34",2006-03-01,-0.0259999999999998,-0.24061442686646
"35",2006-04-01,-0.0500000000000007,-0.440991889921241
"36",2006-05-01,0,-0.429909832496391
"37",2006-06-01,-0.0259999999999998,0.274300586451481
"38",2006-07-01,-0.0500000000000007,0.526963730478806
"39",2006-08-01,-0.34,-0.0578415186345046
"40",2006-09-01,0,0.00644061438945002
"41",2006-10-01,-0.109,0.344246276557717
"42",2006-11-01,-0.34,-0.0784767740277824
"43",2006-12-01,0,-0.894941599458566
"44",2007-01-01,0.00999999999999979,0.542623976341613
"45",2007-02-01,0,-0.14319826855743
"46",2007-03-01,0.0200000000000014,0.191312882978278
"47",2007-04-01,-0.0200000000000014,-0.305963537424673
"48",2007-05-01,0,0.132341336318784
"49",2007-06-01,-0.15,-0.525350732548492
"50",2007-07-01,-0.0100000000000016,0.104881903839001
"51",2007-08-01,0,-0.357578377202419
"52",2007-09-01,-0.011000000000001,0.0933659554399812
"53",2007-10-01,0.0399999999999991,-0.023632289215158
"54",2007-11-01,0,0.364376758866782
"55",2007-12-01,-0.00999999999999979,-0.13090226326801
"56",2008-01-01,-0.00999999999999979,-0.0151752586580377
"57",2008-02-01,0,0.232581963697012
"58",2008-03-01,-0.00999999999999979,0.245401584239459
"59",2008-04-01,0.0199999999999996,0.474007930263737
"60",2008-05-01,0,0.574295296185972
"61",2008-06-01,0.0400000000000009,0.697474554840168
"62",2008-07-01,0.0499999999999989,-0.34110020729569
"63",2008-08-01,0,0.768943215377342
"64",2008-09-01,0.0620000000000012,-0.229475276091511
"65",2008-10-01,-0.139999999999999,0.0325773250460629
"66",2008-11-01,0,-0.0614466697462688
"67",2008-12-01,0.0249999999999986,0.49548745822608
"68",2009-01-01,-0.200000000000001,0.339014592449252
"69",2009-02-01,0,-0.763114452831627
"70",2009-03-01,-0.0999999999999996,-1.25341144320903
"71",2009-04-01,0.380000000000001,0.735199000559122
"72",2009-05-01,0,-0.704576094268593
"73",2009-06-01,-0.335000000000001,0.816132591719912
"74",2009-07-01,-0.0300000000000011,0.286375791914677
"75",2009-08-01,0,-0.041121205856272
"76",2009-09-01,0.0199999999999996,0.389336681253297
"77",2009-10-01,0.0100000000000016,0.594111076663761
"78",2009-11-01,0,0.33778399355751
"79",2009-12-01,-0.0300000000000011,-0.240791043596529
"80",2010-01-01,0.0140000000000011,0.0150814770074728
"81",2010-02-01,0,-0.176121445547562
"82",2010-03-01,-0.173,-0.366947521256373
"83",2010-04-01,0.250999999999999,-0.4581068233394
"84",2010-05-01,0,1.67175121615661
"85",2010-06-01,0.0490000000000013,0.0881954687944203
"86",2010-07-01,0,-0.258168710953601
"87",2010-08-01,0,-0.155398206600679
"88",2010-09-01,-0.0250000000000004,-0.595447554550029
"89",2010-10-01,0.00500000000000078,0.181923597927468
"90",2010-11-01,0,-0.442181093798568
"91",2010-12-01,-0.0779999999999994,0.344211893900667
"92",2011-01-01,0.0309999999999988,0.0754204000907957
"93",2011-02-01,0,0.398844801368803
"94",2011-03-01,-0.00399999999999956,0.826467861890754
"95",2011-04-01,0,-0.474992146480895
"96",2011-05-01,0,-0.380372355617021
"97",2011-06-01,0.0199999999999996,0.144458606214724
"98",2011-07-01,0.0199999999999996,0.366135587717552
"99",2011-08-01,0,0.193537153484097
"100",2011-09-01,-0.391,-2.29093435261622
"101",2011-10-01,-0.0400000000000009,0.271009950446516
"102",2011-11-01,0,-0.44000628037904
"103",2011-12-01,0.016,0.15686100024496
"104",2012-01-01,-0.0700000000000003,0.92111209141369
"105",2012-02-01,0,-0.450043096571083
"106",2012-03-01,-0.15,-1.0570886678024
"107",2012-04-01,-0.0899999999999999,-0.375182881225785
"108",2012-05-01,-0.219999999999999,-0.724623106099044
"109",2012-06-01,0,-0.575917120865997
"110",2012-07-01,-0.0389999999999997,-0.292760147296352
